Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
8043672915,IRA (Alex),FRGXX,FIMM GOVERNMENT PORTFOLIO: INSTL CL,6307.5519999999997,1,0,6307.55,--,--,--,--,1.6799999999999999E-2,--,--,Cash
8043672915,IRA (Alex),FZILX,Acme ZERO INTERNATIONAL INDEX,3131.366,17.09,0.23,53515.040000000001,720.21,1.3599999999999999E-2,25332.75,0.89880000000000004,0.14249999999999999,28182.29,9,Cash
8043672915,IRA (Alex),IAU,ISHARES GOLD TR ISHARES NEW ISIN #US4642852044 SEDOL #BKP74N6,879.51099999999997,81.260000000000005,2.0699999999999998,71469.06,1820.59,2.6100000000000002E-2,7282.35,0.1134,0.1903,64186.71,72.98,Cash
8043672915,IRA (Alex),NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NUCLEAR RENAISSANCE INDEX ETF,309.69400000000002,70.22,1.91,21746.71,591.52,2.7900000000000001E-2,5521.84,0.34029999999999999,5.79E-2,16224.87,52.39,Cash
8043672915,IRA (Alex),SHLD,GLOBAL X FDS DEFENSE TECH ETF,284.09100000000001,63.28,-0.54,17977.28,-153.41,-8.5000000000000006E-3,1784.09,0.1101,4.7899999999999998E-2,16193.19,57,Cash
8043672915,IRA (Alex),VGK,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF,517.78399999999999,89.87,0.25,46533.25,129.44999999999999,2.7000000000000001E-3,10267.66,0.28320000000000001,0.1239,36265.589999999997,70.040000000000006,Cash
2957816403,IRA (Jordan),SPAXX**,HELD IN MONEY MARKET,,,,28629.95,,,,,0.3004,,,Cash
2957816403,IRA (Jordan),BIL,SPDR SERIES TRUST STATE STREET BLOOMBERG 1-3 MONTH T-BILL ETF,137.471,91.51,0,12579.97,0,0,-20.62,-1.6999999999999999E-3,0.13200000000000001,12600.59,91.66,Cash
2957816403,IRA (Jordan),FNILX,Acme ZERO LARGE CAP INDEX FUND,487.24799999999999,27.03,0.46,13170.31,224.13,1.7299999999999999E-2,5306.13,0.67420000000000002,0.13819999999999999,7864.18,16.14,Cash
2957816403,IRA (Jordan),FZILX,Acme ZERO INTERNATIONAL INDEX,798.50199999999995,17.09,0.23,13646.4,183.66,1.3599999999999999E-2,6523.76,0.91669999999999996,0.14319999999999999,7122.64,8.92,Cash
2957816403,IRA (Jordan),IAU,ISHARES GOLD TR ISHARES NEW ISIN #US4642852044 SEDOL #BKP74N6,65.319999999999993,81.260000000000005,2.0699999999999998,5307.9,135.21,2.6100000000000002E-2,1196.01,0.2908,5.57E-2,4111.8900000000003,62.95,Cash
2957816403,IRA (Jordan),NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NUCLEAR RENAISSANCE INDEX ETF,78.66,70.22,1.91,5523.51,150.24,2.7900000000000001E-2,1402.51,0.34029999999999999,5.8000000000000003E-2,4121,52.39,Cash
2957816403,IRA (Jordan),SHLD,GLOBAL X FDS DEFENSE TECH ETF,72.22,63.28,-0.54,4570.08,-39,-8.5000000000000006E-3,453.54,0.1101,4.8000000000000001E-2,4116.54,57,Cash
2957816403,IRA (Jordan),VGK,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF,132.011,89.87,0.25,11863.83,33,2.7000000000000001E-3,2600.62,0.28070000000000001,0.1245,9263.2099999999991,70.17,Cash
